"subID","memory","memCode","degree","outdegree","indegree","strength","IM","IO","Val_1","Val_2","PANAS_1","PANAS_2","PANAS_3","PANAS_4","PANAS_5","PANAS_6","PANAS_7","PANAS_8","PANAS_9","PANAS_10","V22","V23","Clear","Rep","Chan","Dist","Cert","Often","Breadth","SO_1","SO_2","Length_12","Length_13","Length_14","IM_neighs","IO_neighs","Val_1_neighs","Val_2_neighs","PANAS_1_neighs","PANAS_2_neighs","PANAS_3_neighs","PANAS_4_neighs","PANAS_5_neighs","PANAS_6_neighs","PANAS_7_neighs","PANAS_8_neighs","PANAS_9_neighs","PANAS_10_neighs","Clear_neighs","Rep_neighs","Chan_neighs","Dist_neighs","Cert_neighs","Often_neighs","Breadth_neighs","SO_1_neighs","SO_2_neighs","Length_12_neighs","Length_13_neighs","Length_14_neighs"
"61755","When I was in high school and my cousin was diagnosed with cancer","1",2,1,1,4.63636363636364,7,7,57,60,1,1,1,1,2,3,4,5,5,5,1.2,4.4,7,6,6,6,7,5,5,77,78,3,NA,NA,6,4.5,87.5,36.5,5,5,5,4.5,4,1,1,1,1,1.5,6,5,5,4.5,6.5,5.5,6,92,62.5,2,2,NA
"61755","My 15 big birthday party that was special for my family and I","2",3,1,2,12.1818181818182,5,4,75,73,5,5,5,5,4,1,1,1,1,2,4.8,1.2,5,5,5,3,6,5,5,84,75,3,NA,NA,7,6,78.5,30,3,3,3,2.5,3,2,2.5,3,3,3,7,5.5,5.5,6,7,5.5,6,88.5,64,2,2,NA
"61755","When my boyfriend asked me to be his girlfriend","3",3,2,1,12.0909090909091,7,5,100,0,5,5,5,4,4,1,1,1,1,1,4.6,1,7,5,5,6,7,6,7,100,50,1,2,NA,6,5.5,66,66.5,3,3,3,3,3,2,2.5,3,3,3.5,6,5.5,5.5,4.5,6.5,5,5,80.5,76.5,3,NA,NA
"60911","I had an intense fear of death in elementary school. So much so that I had turned to religion (christianity for 5 years) before I decided it wasn't for me and just accepted nothingness after death.","1",0,0,0,0,6,3,19,82,3,3,3,3,3,3,3,3,3,3,3,3,7,4,6,6,7,5,1,91,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60911","I loved and hated my high school experience. I met lots of good people and had great experiences but I also developed a lot of physical and mental health issues.","2",1,1,0,4.54545454545455,7,2,29,72,1,1,2,1,1,5,3,3,3,5,1.2,3.8,3,4,7,7,2,4,4,91,5,NA,5,NA,7,2,NA,100,1,1,1,1,1,5,1,1,1,1,7,4,5,5,7,7,1,92,8,0,NA,NA
"60911","I have experienced chronic migraines as far as I can remember.","3",1,0,1,4.54545454545455,7,2,NA,100,1,1,1,1,1,5,1,1,1,1,1,1.8,7,4,5,5,7,7,1,92,8,0,NA,NA,7,2,29,72,1,1,2,1,1,5,3,3,3,5,3,4,7,7,2,4,4,91,5,NA,5,NA
"61585","My first day of Kindergarten, I cried and felt like I was extremely attached to my mom. I didn't want to let go ","1",5,1,4,36.3636363636364,7,5,80,50,1,1,1,1,1,2,1,4,4,5,1,3.2,7,6,6,2,6,4,5,100,80,15,0,0,6.8,5.4,69.8,60,3.2,3,3.2,3.2,2.8,2,1.4,2.6,2.6,2.2,5.8,5.2,5.2,4.2,5.8,5.4,5.6,100,100,4.5,0.4,0
"61585","When I was little I always looked forward to my dad coming home and getting to hug him. He worked a lot because we needed money.","2",8,3,5,63.6363636363636,7,6,90,0,4,4,4,4,5,2,1,1,1,2,4.2,1.4,7,5,6,2,6,6,4,100,89,15,0,0,7,6,40.2,80,1.6,1.4,1.8,1.8,2.4,2,1.8,2.8,2.8,3.6,6.2,5.2,6,4.2,6,6.2,5.4,100,100,6,0,0
"61585","On my 7th birthday, I cried and I don't remember exactly why but I remember my family comforting me","3",7,4,3,40,6,6,50,50,1,1,1,1,1,1,1,1,1,4,1,1.6,6,6,5,2,5,4,4,100,92,11,0,0,7,5,40.2,80,1.6,1.4,1.8,1.8,2.4,2.2,1.8,2.4,2.6,3.6,6.2,5.2,6,4,6,5.8,5,100,80,5.6,0,0
"61585","When I was little me and my brothers would play forts, it's such a comforting memory because we were all little kids and that's all we were happy kids. ","4",9,3,6,59.8181818181818,7,6,100,50,5,5,5,5,3,1,1,1,1,1,4.6,1,6,6,4,2,6,4,5,100,100,14,0,0,6.57142857142857,5.57142857142857,57.2857142857143,57.1428571428571,2.42857142857143,2.28571428571429,2.42857142857143,2.42857142857143,2.14285714285714,1.71428571428571,1.28571428571429,2.57142857142857,2.57142857142857,3.28571428571429,6.42857142857143,5,5.42857142857143,3.28571428571429,6.14285714285714,5.42857142857143,5.28571428571429,79.8571428571429,97.1428571428571,7.83333333333333,0,0
